28408;11;32;50;89;162
37288;2;31;40;92;92
37276;5;28;29;39;39
36381;0;27;36;63;81
36383;0;21;21;48;60
36511;5;14;23;23;23
36506;5;10;10;10;72
36456;0;6;6;47;130
9549;0;5;12;51;61
28056;0;0;0;0;0
28103;0;0;5;5;6
36344;0;0;0;0;75
36782;0;0;0;0;0
28599;0;0;19;81;146
33692;0;0;0;0;0
29603;0;0;19;95;95
28577;0;0;0;0;0
28579;0;0;19;104;132
28575;0;0;0;0;0
28593;0;0;19;108;144
28533;0;0;0;0;0
28550;0;0;19;108;156
34272;0;0;0;0;5
34275;0;0;0;0;0
28507;0;0;19;94;130
37408;0;0;0;0;0
37412;0;0;0;0;0
37210;0;0;2;2;2
36376;0;0;0;27;79
30295;0;0;0;0;0
34572;0;0;0;13;19
2469;0;0;7;20;38
33639;0;0;0;0;0
2474;0;0;17;40;59
2870;0;0;0;15;42
38067;21;25;25;25;25
25898;22;23;28;74;100
2278;0;6;6;11;11
34417;0;0;0;13;37
34586;0;0;1;52;110
1340;2;19;34;37;51
28398;0;16;21;59;165
26691;0;12;29;73;77
2410;6;7;7;42;78
28239;0;2;4;4;4
26863;0;0;0;24;41
27301;0;0;0;27;60
28793;0;0;0;0;12
2814;0;0;0;0;0
22659;0;0;0;10;34
37031;0;18;37;81;81
28406;2;9;9;37;122
34566;0;7;7;19;19
2821;4;5;17;44;57
26880;2;2;2;28;61
34008;1;2;5;17;17
22301;2;2;2;39;50
2752;0;1;2;8;16
2210;0;0;0;0;0
2609;0;0;5;36;48
2698;0;0;6;6;30
2318;0;0;4;36;62
2873;0;0;6;7;11
36326;5;24;32;61;61
32678;0;17;22;34;65
2264;0;9;9;12;17
3060;0;9;9;14;26
28220;0;6;16;23;23
36162;5;5;5;5;22
2209;0;0;0;0;0
2677;0;0;0;18;36
28403;0;0;0;21;86
28434;11;33;47;53;104
28837;7;22;32;76;108
32460;1;21;26;69;173
2173;16;17;29;31;59
32952;10;10;15;57;69
26591;0;3;3;3;11
23594;2;2;13;28;35
26996;0;0;0;15;39
28094;0;0;0;0;0
36427;0;0;0;0;0
32896;0;0;23;86;95
36431;0;0;0;0;0
36043;0;0;0;23;42
28442;13;19;19;20;76
